-aĵo                                                                                      chose (concrète), difficulté, gravure
iompostiome                                                                               insensiblement
iona                                                                                      ionien (mus.)
ionika                                                                                    ionien (archit.)
irado                                                                                     marche, marche (techn.)
iraka                                                                                     irakien
irakanino                                                                                 Irakienne
irakano                                                                                   Irakien
irana                                                                                     iranien
irananino                                                                                 Iranienne
iranano                                                                                   Iranien
irantaro                                                                                  cortège, procession
irbileto                                                                                  billet d'aller
irebla                                                                                    praticable
irejo                                                                                     chemin, passage, voie
iri                                                                                       aller(se déplacer), déplacer(se ~), marcher
irido                                                                                     iris
irigacii                                                                                  abreuver, irriguer
irigacio                                                                                  irrigation
irigi                                                                                     faire aller
irizi                                                                                     iriser
irlanda                                                                                   irlandais
irlandanino                                                                               Irlandaise
irlandano                                                                                 Irlandais
irmaniero                                                                                 allure(vitesse), démarche, train(vitesse)
iroka                                                                                     iroquois
iroko                                                                                     Iroquois
ironia                                                                                    ironique
ironii                                                                                    ironiser
ironio                                                                                    ironie
irorevena                                                                                 aller-retour
irtapiŝo                                                                                  tapis roulant
irvojo                                                                                    parcours, parcours (d'un véhicule)
iskia                                                                                     sciatique
iskiatiko                                                                                 sciatique
islama                                                                                    islamique
islamano                                                                                  musulman
islamigi                                                                                  islamiser
islamo                                                                                    islam
islanda                                                                                   islandais
islandanino                                                                               Islandaise
islandano                                                                                 Islandais
ismaelido                                                                                 Ismaélite
israela                                                                                   israélite
israelano                                                                                 israélite(individu)
istmo                                                                                     isthme, isthme (anatomie)
itala                                                                                     italien
italino                                                                                   Italienne
italo                                                                                     Italien
itinero                                                                                   circuit, itinéraire
iu                                                                                        quelqu'un
iuj                                                                                       quelques uns
izocela                                                                                   isocèle
izola                                                                                     isolé
izolado                                                                                   isolation
izolbudo                                                                                  isoloir
izoleco                                                                                   isolation
izoli                                                                                     isoler
izoligi                                                                                   confiner
izolilo                                                                                   isoloir
izolita                                                                                   isolé, retiré (éloigné)
izoliteco                                                                                 abandon, retraite (spirit.)
izoliĝi                                                                                   enterrer (s'~), isoler (s'~)
izolrubando                                                                               ruban d'isolation
izolĉelo                                                                                  isoloir
izoterma                                                                                  isotherme
izraelido                                                                                 israélite
iĝi                                                                                       devenir
ja                                                                                        bien(adverbe), certes, si(oui d'insistance)
jado                                                                                      jade
jaguaro                                                                                   jaguar
jahurto                                                                                   yaourt, yogourt
jako                                                                                      veste, veston
jakobeno                                                                                  jacobin
jakto                                                                                     yacht
jam                                                                                       déjà
jamajka                                                                                   jamaïcain
jamajkanino                                                                               Jamaïcaine
jamajkano                                                                                 Jamaïcain
janiĉaro                                                                                  janissaire
jankio                                                                                    yankee
jansenismo                                                                                jansénisme
januaro                                                                                   janvier
japana                                                                                    japonais
japanino                                                                                  Japonaise
japano                                                                                    Japonais
jara                                                                                      annuel
jaraĝa                                                                                    âgé (~ de)
jarbulteno                                                                                bulletin annuel
jarcento                                                                                  siècle
jardaŭra                                                                                  annuel
jardeko                                                                                   décade
jarkolekto                                                                                collection annuelle
jarkvino                                                                                  quinquennat
jarlibro                                                                                  annuaire
jarmila                                                                                   millénaire
jarmilo                                                                                   millénaire
jaro                                                                                      an, année
jaroraporto                                                                               rapport annuel
jarŝanĝo                                                                                  changement d'année
jasmeno                                                                                   jasmin
jaspo                                                                                     jaspe
jaspokolora                                                                               couleur de jaspe
java                                                                                      javanais
javanino                                                                                  Javanaise
javano                                                                                    Javanais
jaĥthaveno                                                                                port de plaisance
jaĥtklubo                                                                                 club de plaisance
jaĥto                                                                                     yacht
jaŭde                                                                                     le jeudi
je                                                                                        à, de, en, préposition multi-usages
jemena                                                                                    Yéménite
jemenanino                                                                                Yéménite
jemenano                                                                                  Yéménite
jen                                                                                       tiens, voici, voilà
jena                                                                                      suivant (adj.)
jeno                                                                                      yen
jeremiadi                                                                                 jérémier
jeremiaĵo                                                                                 jérémiade
jes                                                                                       oui
jesa                                                                                      affirmatif
jesemulo                                                                                  approbateur
jesi                                                                                      acquiescer, affirmer
jesigi                                                                                    faire acquiescer
jeso                                                                                      acquiescement, affirmation
jeto                                                                                      avion à réaction
jezuito                                                                                   jésuite
jodli                                                                                     chanter la tyrolienne, yodler
jodlo                                                                                     tyrolienne
jodo                                                                                      iode
jogano                                                                                    yogi
jogo                                                                                      yoga
jogurto                                                                                   yaourt, yogourt
jokero                                                                                    joker
jolo                                                                                      yole
jonizi                                                                                    ioniser
jonko                                                                                     jonque
jonkvilo                                                                                  jonquille
jono                                                                                      ion
jonosfero                                                                                 ionosphère
jordanano                                                                                 jordanien
jordania                                                                                  jordanien
jordanianino                                                                              Jordanienne
jordaniano                                                                                Jordanien
jordanĝero                                                                                risque de dérapage
jori                                                                                      déraper
joro                                                                                      dérapage, embardée
joviala                                                                                   jovial
jovialeco                                                                                 jovialité
jubila                                                                                    jubilatoire
jubileo                                                                                   jubilé
jubili                                                                                    jubiler, pavoiser
jubilo                                                                                    jubilation
juda                                                                                      juif
judaismo                                                                                  judaïsme
judino                                                                                    juive
judismo                                                                                   sionisme
judo                                                                                      juif, Juif
juglandarbo                                                                               noyer (subst.)
juglandligno                                                                              bois de noyer
juglandonukso                                                                             noix (de noyer)
juglandujo                                                                                noyer (subst.)
jugo                                                                                      joug
jugoslava                                                                                 yougoslave
jugoslavino                                                                               Yougoslave
jugoslavo                                                                                 Yougoslave
jugulara                                                                                  jugulaire
jujubarbo                                                                                 jujubier
jujubo                                                                                    jujube
jujuo                                                                                     youyou
juka                                                                                      démangeant
jukao                                                                                     yucca
juki                                                                                      démanger
juko                                                                                      démangeaison
juli                                                                                      godiller
julio                                                                                     juillet
juna                                                                                      jeune
junaĝo                                                                                    jeune âge
juneco                                                                                    jeunesse
jungi                                                                                     atteler, harnacher
jungilaro                                                                                 harnais
jungoparo                                                                                 paire d'attelage
junio                                                                                     juin
junioro                                                                                   junior
junipero                                                                                  genévrier
junko                                                                                     jonc
junkro                                                                                    cadet (nobl.)
junti                                                                                     emboîter, joindre
junto                                                                                     joint (technique)
junulargastejo                                                                            auberge de jeunesse
junulargvidantino                                                                         éducatrice
junulargvidanto                                                                           éducateur
junulino                                                                                  adolescente
junulo                                                                                    ado, adolescent, jeune
jupio                                                                                     yuppie
jupo                                                                                      jupe
jura                                                                                      juridique
juridikcio                                                                                juridiction
jurisprudenco                                                                             jurisprudence
juristo                                                                                   juriste
juro                                                                                      droit (justice)
juroscienco                                                                               science juridique
justa                                                                                     équitable, juste (équitable), moral
juste                                                                                     justement (avec justice)
justeco                                                                                   justice (équité)
justico                                                                                   justice (administ.)
justigi                                                                                   justifier
juto                                                                                      jute
jutosako                                                                                  sac de jute
juvelbutiko                                                                               joaillerie
juvelisto                                                                                 bijoutier, orfèvre
juvelo                                                                                    bijou, joyau
juvelujo                                                                                  écrin
juvelŝtono                                                                                pierre précieuse
juĝa                                                                                      judiciaire
juĝado                                                                                    jugement
juĝalvoki                                                                                 faire appel en justice
juĝalvoko                                                                                 appel en justice
juĝantaro                                                                                 jury
juĝdistrikto                                                                              district judiciaire
juĝejo                                                                                    tribunal
juĝeraro                                                                                  erreur judiciaire
juĝi                                                                                      juger
juĝista                                                                                   juridique
juĝistaro                                                                                 magistrature, tribunal
juĝisto                                                                                   juge, magistrat
juĝo                                                                                      jugement, opinion
juĝodistrikto                                                                             juridiction
juĝoficiro                                                                                magistrat
juĝokapablo                                                                               sens (bon)
juĝopovo                                                                                  justice (pouvoir de ~)
juĝorajto                                                                                 juridiction
juĝoregistrejo                                                                            greffe
juĝrajtulo                                                                                justicier
kabalo                                                                                    cabale
kabano                                                                                    cabane, case (habitation), chaumière, hutte
kabaredo                                                                                  cabaret
kabei                                                                                     démissionner
kabila                                                                                    kabyle
kabilo                                                                                    Kabyle
kabineto                                                                                  cabinet
kablo                                                                                     câble, câble électrique
kabo                                                                                      cap
kabrioleto                                                                                cabriolet
kaco                                                                                      bitte, pénis, zob
kadastro                                                                                  cadastre
kadavramaso                                                                               charnier
kadavrejo                                                                                 morgue
kadavro                                                                                   cadavre, dépouille
kadenco                                                                                   cadence
kadeto                                                                                    cadet ( milit.)
kadri                                                                                     cadrer, encadrer
kadristo                                                                                  encadreur
kadro                                                                                     cadre, châssis
kadroleĝo                                                                                 loi cadre
kaduceo                                                                                   caducée
kaduka                                                                                    caduc, délabré, désuet, infirme (adj.), vétuste, vieux (adj.)
kadukigi                                                                                  délabrer
kadukiĝi                                                                                  dégénérer
kadukiĝo                                                                                  dégénérescence
kafeino                                                                                   caféine
kafejestro                                                                                cafetier
kafejo                                                                                    cabaret, café
kafeterio                                                                                 cafétéria
kafkruĉo                                                                                  cafetière
kafmuelilo                                                                                moulin à café
kafo                                                                                      café
kafofiltrilo                                                                              filtre à café
kafoglaciaĵo                                                                              glace au café
kafograjno                                                                                grain de café
kafpaŭzo                                                                                  pause café
kafplantejo                                                                               plantation de café
kafsalono                                                                                 salon de café
kafskatolo                                                                                boîte de café
kaftaso                                                                                   tasse à café
kaftrinkejo                                                                               café
kafujo                                                                                    cafetière
kahelaro                                                                                  carrelage
kahelfaristo                                                                              carreleur
kaheli                                                                                    carreler
kahelisto                                                                                 carreleur
kahelo                                                                                    carreau (céramique)
kahelplanko                                                                               sol carrelé
kaj                                                                                       et, et puis
kajako                                                                                    kayak
kajbileto                                                                                 billet de quai
kajero                                                                                    cahier
kajestro                                                                                  chef de quai
kajmano                                                                                   caïman
kajo                                                                                      quai
kajofino                                                                                  musoir
kajsigno                                                                                  perluète
kajto                                                                                     cerf-volant(jeu)
kajutkofro                                                                                coffre de cabine
kajutlito                                                                                 couchette
kajuto                                                                                    cabine, cabine d'avion, cabine de bateau
kajutpasaĝero                                                                             passager de cabine
kakao                                                                                     cacao
kakaoarbo                                                                                 cacaotier
kakaobutero                                                                               beurre de cacao
kakaograjno                                                                               graine de cacao
kaki                                                                                      déféquer, faire caca
kakio                                                                                     kaki (bot.)
kakofonio                                                                                 cacophonie
kakto                                                                                     cactus
kala                                                                                      calleux
kalabaseto                                                                                courgette
kalabaso                                                                                  courge
kalabra                                                                                   calabrais
kalabro                                                                                   Calabrais
kalamino                                                                                  calamine
kalandro                                                                                  calandre
kalaĵo                                                                                    cale
kalcini                                                                                   calciner
kalcio                                                                                    calcium
kalcitrema                                                                                récalcitrant (cheval)
kalcitri                                                                                  ruer
kalcitro                                                                                  ruade
kaldronego                                                                                chaudière
kaldronisto                                                                               chaudronnier
kaldronkrusto                                                                             tartre
kaldrono                                                                                  chaudron
kalejdoskopo                                                                              caléidoscope
kalemburo                                                                                 calembour
kalendaro                                                                                 calendrier
kalendo                                                                                   calendes
kalendulo                                                                                 calendula, souci (bot.)
kaleŝisto                                                                                 cocher (substant.)
kaleŝo                                                                                    calèche, coche, voiture (hippomobile)
kalfatri                                                                                  calfeutrer
kalibri                                                                                   calibrer
kalibrilo                                                                                 gabarit
kalibro                                                                                   calibre
kalidro                                                                                   bécasseau
kalifo                                                                                    calife
kalifornia                                                                                californien
kalifornianino                                                                            Californienne
kaliforniano                                                                              Californien
kaligrafii                                                                                calligraphier
kaligrafio                                                                                calligraphie
kaligrafo                                                                                 calligraphe
kaliko                                                                                    calice, coupe (calice)
kalikoto                                                                                  calicot
kalio                                                                                     potassium
kalistefo                                                                                 reine-marguerite
kalka                                                                                     calcaire
kalkakvo                                                                                  eau calcaire
kalkano                                                                                   talon (anat.)
kalkanosto                                                                                os du talon
kalkanpeco                                                                                contrefort
kalkansidi                                                                                être assis sur les talons
kalkanumo                                                                                 talon (chaussure)
kalkargilo                                                                                argile calcaire
kalkeca                                                                                   calcaire
kalkhava                                                                                  calcaire
kalko                                                                                     chaux
kalkulado                                                                                 calcul
kalkulebla                                                                                calculable
kalkuleraro                                                                               erreur de calcul
kalkuli                                                                                   calculer, chiffrer, compter, dénombrer
kalkulilo                                                                                 calculatrice
kalkulkonjekti                                                                            supputer
kalkulmaŝino                                                                              machine à calculer
kalkulo                                                                                   calcul, note (facture)
kalkulproblemo                                                                            problème de calcul
kalkulsumo                                                                                montant (somme)
kalkultabelo                                                                              table à calculer
kalkulunuo                                                                                unité de calcul
kalmo                                                                                     calme
kalo                                                                                      cal, durillon, oignon
kaloria                                                                                   calorique
kalorio                                                                                   calorie
kalsoneto                                                                                 slip
kalsono                                                                                   caleçon
kalumeto                                                                                  calumet
kalumni                                                                                   calomnier
kalumnia                                                                                  calomnieux
kalumnianto                                                                               calomniateur
kalumniaĵo                                                                                calomnie
kalumnii                                                                                  calomnier, dénigrer, diffamer, médire, salir(sens figuré)
kalumnio                                                                                  calomnie
kalva                                                                                     chauve
kalvario                                                                                  calvaire
kalveco                                                                                   calvitie
kalvinano                                                                                 calviniste
kalvinisma                                                                                calviniste
kalvinismo                                                                                calvinisme
kalvulo                                                                                   chauve(individu)
kamaradeco                                                                                camaraderie
kamarado                                                                                  camarade, copain
kambio                                                                                    change
kambioagento                                                                              agent de change
kambiokomerco                                                                             commerce de change
kamboĝa                                                                                   cambodgien, khmer
kamboĝanino                                                                               Cambodgienne
kamboĝano                                                                                 Cambodgien, Khmer
kameleono                                                                                 caméléon
kamelio                                                                                   camélia
kamelkondukisto                                                                           chamelier
kamelo                                                                                    chameau
kamemberto                                                                                camembert
kamenekrano                                                                               écran de cheminée
kamenfajro                                                                                feu de cheminée
kamenhorloĝo                                                                              horloge de cheminée
kamenkadro                                                                                tablier de cheminée
kamenkahelo                                                                               carrelage de cheminée
kamenkapuĉo                                                                               abat-vent, hotte
kameno                                                                                    cheminée, feu (foyer)
kamenpurigisto                                                                            ramoneur
kamensepto                                                                                tablier de cheminée
kamentubo                                                                                 cor de fourneau
kameraisto                                                                                cadreur, cameraman
kamerao                                                                                   caméra
kameristo                                                                                 chambrier
kamero                                                                                    cabinet noir, camera, chambre (noire)
kameruna                                                                                  camerounais
kamerunano                                                                                Camerounais
kamforo                                                                                   camphre
kamioneto                                                                                 camionnette
kamionisto                                                                                camionneur
kamiono                                                                                   camion
kamizolo                                                                                  camisole
kamomilo                                                                                  camomille
kampadejo                                                                                 camp, camping
kampadi                                                                                   camper
kampadpermeso                                                                             permis de camper
kampadregularo                                                                            règlement de camping
kampadveturilo                                                                            camping car
kampanjo                                                                                  campagne(milit.), campagne(politique), campagne(publicité), croisade
kampanulo                                                                                 campanule
kampara                                                                                   campagnard, rural
kamparano                                                                                 paysan
kamparo                                                                                   campagne (lieu)
